,Balcony_Terrace,Elevator,area,num_rooms,postcode,kaltmiete
259,True,True,81.44,3.0,14052,1176.81
260,True,False,122.85,4.0,13125,1481.57
261,True,False,49.79,1.0,13125,712.0
262,True,False,90.2,4.5,14089,900.0
263,True,True,52.84,2.0,10963,978.07
264,True,False,62.77,2.0,13125,859.95
265,True,True,58.0,2.0,13088,870.0
266,True,False,57.0,2.5,14055,620.0
267,True,False,55.19,2.0,13595,960.0
268,True,False,44.79,2.0,13583,395.5
269,True,True,55.0,2.0,14199,1000.0
270,True,True,150.0,4.0,10785,2950.0
271,False,False,148.66,6.0,13507,1635.26
272,True,False,58.04,2.0,12627,579.0
273,True,True,103.0,3.0,10999,2200.0
274,True,False,44.48,2.0,12489,690.88
275,True,False,59.22,2.0,13581,810.0
276,True,False,96.0,3.0,13581,1360.0
277,True,False,38.0,1.0,13597,600.0
278,True,False,67.66,2.0,13581,940.0
279,True,True,114.28,3.0,14057,1320.72
280,True,False,88.95,3.0,13581,1140.0
281,True,False,88.61,3.0,13581,1190.0
282,False,False,59.0,2.0,13359,840.0
283,True,True,101.6,2.0,10178,1554.48
284,True,False,60.84,2.0,13581,890.0
285,True,True,91.53,3.0,10711,1281.42
286,False,True,69.77,2.0,10405,1370.0
287,True,True,195.0,4.0,10785,3365.0
288,False,False,62.94,2.0,12163,746.0
289,False,True,132.81,4.0,10115,2191.37
290,True,True,37.03,1.0,13051,479.0
291,True,False,96.05,4.0,13581,1290.0
292,True,False,105.57,4.0,13581,1480.0
293,True,False,63.86,2.0,13125,894.04
294,True,False,70.55,3.0,10557,1420.0
295,False,True,54.72,2.0,10405,1095.0
296,True,False,67.0,2.0,12277,522.5
297,True,True,123.0,4.0,12163,2527.0
298,True,False,57.61,2.0,13127,699.0
299,True,True,46.0,1.0,10627,1250.0
300,False,False,35.34,2.0,10115,1000.0
301,True,True,58.77,2.0,10785,1293.0
302,True,False,178.42,5.0,12349,1427.36
303,True,False,61.54,2.0,13127,699.0
304,True,False,107.0,3.0,14052,1605.0
305,True,True,89.21,3.0,14199,1400.0
306,True,True,76.23,3.0,13593,490.24
307,True,True,36.4,1.0,13593,292.07
308,True,False,91.71,5.0,10243,971.62
309,True,True,100.91,3.0,14169,2020.0
310,True,True,84.4,3.0,14199,1420.0
311,True,False,76.48,3.0,13158,1170.0
312,True,True,100.13,3.0,14199,1401.82
313,True,False,59.57,2.0,13158,790.0
314,True,False,100.02,3.0,14199,1400.28
315,True,False,65.3,2.0,13158,850.0
316,False,True,47.0,2.0,10407,1008.0
317,False,False,61.0,2.0,13507,686.0
318,False,False,58.0,2.0,14199,522.0
319,True,True,94.0,3.0,10785,1800.0
320,True,False,93.9,3.0,13158,1280.0
321,True,True,75.88,3.0,13127,869.0
322,False,True,45.9,1.0,12555,734.4
323,False,False,68.0,3.0,13469,620.0
324,False,True,30.0,1.0,10245,950.0
325,True,True,52.0,2.0,12277,1032.0
326,True,True,63.0,2.0,12277,1241.0
327,True,True,30.0,1.0,12277,847.0
328,True,False,95.57,3.0,13158,1270.0
329,True,True,26.0,1.0,12277,699.0
330,False,True,36.0,1.0,12555,749.0
331,False,True,29.0,1.0,12489,729.0
332,False,True,47.46,2.0,10365,325.25
333,False,False,87.0,3.5,13189,776.91
334,True,False,66.0,2.5,12349,639.0
335,True,False,37.0,1.0,14167,375.56
336,True,True,67.0,3.0,10179,1647.0
337,True,True,42.2,1.0,10555,830.52
338,True,False,125.0,4.0,12307,1233.24
339,True,True,117.0,3.0,10249,1765.0
340,False,True,32.54,1.0,10369,250.2
341,False,True,32.0,1.0,12555,729.0
342,False,False,80.0,3.0,10119,1200.0
343,False,False,65.0,2.0,10245,700.0
344,True,False,64.0,2.0,10827,750.0
345,True,False,60.0,2.0,12049,820.0
346,False,False,78.0,3.0,10115,2200.0
347,True,False,68.0,3.0,10405,1200.0
348,False,False,54.0,2.0,10967,700.0
349,True,True,55.0,2.0,10115,440.0
350,False,False,48.0,2.0,12047,550.0
351,True,True,85.0,4.0,10407,1800.0
352,True,True,57.0,2.0,10178,650.0
353,True,False,60.0,2.0,10407,850.0
354,True,True,35.0,1.0,14199,775.0
355,False,False,55.0,2.0,12247,735.0
356,True,False,43.0,1.0,12049,740.0
357,True,False,53.0,2.0,10315,620.0
358,True,False,60.0,2.0,12045,750.0
359,True,False,105.0,3.0,10437,900.0
360,False,False,60.0,2.0,10245,1150.0
361,True,False,120.0,4.0,10405,2500.0
362,False,False,52.0,2.0,10711,560.0
363,True,False,87.0,3.0,12047,1400.0
364,False,False,42.0,2.0,12045,775.0
365,True,False,53.0,2.0,10439,1175.0
366,False,True,60.0,3.0,10117,780.0
367,True,False,53.0,2.0,14057,820.0
368,False,False,33.0,1.0,10961,363.0
369,False,False,32.0,1.0,10247,850.0
370,True,False,69.0,2.0,13349,700.0
371,False,True,38.0,2.0,10555,607.0
